Age,Sex,Weight  in lbs,Height in Inch,IQ,Units of alcohol per day,Cigarettes per day,Marital Status,Additional People in household,Salary,Active,Health Score (high is good)
58,Female,120,62,103,0,0,Divorced,2,56588,Inactive,150
45,Female,106,63,101,2,0,Married,2,52836,Inactive,118
63,Female,138,67,109,2,0,Divorced,1,54838,Inactive,90
26,Female,126,69,96,2,0,Cohabiting,1,54853,Inactive,165
67,Female,133,65,101,2,0,Single,0,24976,Inactive,86
43,Female,143,65,98,0,0,Widowed,1,54127,Active,240
51,Male,151,69,107,1,30,Single,1,55246,Inactive,84
57,Male,139,75,92,1,0,Cohabiting,1,55497,Active,140
24,Female,113,68,102,0,35,Single,3,24875,Active,210
41,Female,97,67,106,1,0,Divorced,2,55227,Very Active,309
67,Male,183,71,96,0,0,Single,3,25103,Inactive,97
80,Female,108,66,100,0,0,Cohabiting,2,25117,Inactive,103
80,Female,127,70,111,1,0,Married,3,25000,Very Active,180
80,Female,101,65,95,0,18,Widowed,2,25198,Active,139
21,Female,111,67,102,2,0,Widowed,1,25030,Inactive,236
42,Male,186,72,92,2,0,Married,2,55191,Inactive,133
50,Male,179,74,106,1,0,Cohabiting,1,56255,Inactive,117
44,Female,140,66,98,1,0,Single,1,54281,Inactive,175
24,Male,167,70,114,2,0,Married,3,25026,Very Active,232
39,Male,191,69,103,1,0,Married,1,54175,Inactive,112
46,Male,161,72,98,0,2,Cohabiting,1,55681,Active,158
29,Male,164,70,100,2,4,Married,1,55979,Very Active,201
40,Female,129,62,99,0,0,Cohabiting,2,55932,Very Active,283
56,Female,115,62,102,2,0,Married,3,54322,Inactive,123
58,Female,137,66,102,0,0,Single,1,53710,Active,175
51,Female,116,65,94,1,0,Cohabiting,2,53784,Inactive,138
47,Female,144,69,97,2,0,Divorced,3,53009,Active,194
35,Male,194,71,102,1,0,Cohabiting,3,53975,Inactive,136
78,Male,167,73,104,0,0,Divorced,2,24937,Active,120
50,Female,122,66,99,3,0,Married,2,54797,Inactive,159
71,Female,122,63,106,1,0,Married,4,24994,Inactive,106
41,Female,144,59,97,1,25,Divorced,1,55451,Inactive,124
78,Female,115,66,95,1,0,Cohabiting,4,25074,Inactive,101
36,Female,134,60,101,1,11,Cohabiting,2,56496,Inactive,106
61,Male,150,77,87,2,0,Divorced,3,54466,Inactive,92
25,Female,142,68,103,4,0,Cohabiting,4,54943,Very Active,330
75,Female,117,67,97,0,19,Cohabiting,3,24854,Inactive,71
38,Female,133,69,105,2,0,Single,2,53634,Inactive,162
56,Male,167,73,99,3,0,Widowed,0,55688,Inactive,89
46,Female,138,67,101,0,34,Divorced,0,53298,Inactive,79
60,Male,171,68,105,1,30,Single,0,54827,Active,92
38,Female,131,68,104,2,0,Married,1,54129,Very Active,291
19,Male,142,68,110,1,39,Widowed,2,24989,Active,132
48,Female,131,66,102,0,15,Married,2,55056,Inactive,119
41,Male,156,73,98,1,0,Married,3,56229,Very Active,198
59,Female,116,69,102,0,0,Married,3,53429,Active,210
21,Female,137,69,103,1,0,Single,2,24994,Active,370
40,Male,178,67,105,1,0,Widowed,3,55439,Very Active,181
58,Male,163,73,111,3,0,Widowed,2,56499,Very Active,142
37,Female,153,70,99,1,0,Married,4,55222,Active,230
35,Female,128,67,103,0,0,Cohabiting,4,52656,Inactive,218
48,Female,120,65,100,1,9,Cohabiting,2,55629,Inactive,101
19,Female,140,67,101,1,0,Cohabiting,3,24952,Active,373
62,Female,108,64,106,1,0,Single,3,54439,Active,170
56,Male,158,73,104,1,0,Cohabiting,4,52892,Inactive,99
18,Female,117,67,105,1,3,Single,2,24852,Inactive,290
65,Female,128,65,100,1,0,Married,4,54992,Inactive,113
31,Male,142,73,99,2,0,Married,2,54926,Very Active,225
25,Male,164,70,103,1,0,Married,2,54222,Active,209
29,Female,125,70,103,1,0,Divorced,1,54449,Inactive,163
62,Female,137,69,100,1,37,Single,2,54652,Active,132
52,Male,171,78,110,1,0,Cohabiting,2,54361,Inactive,106
21,Male,168,68,99,0,0,Married,3,25022,Active,236
41,Male,137,77,97,1,0,Married,1,56334,Active,180
47,Male,137,73,98,3,0,Married,4,56761,Very Active,169
21,Female,81,67,94,0,3,Cohabiting,2,25216,Active,436
77,Female,139,71,99,1,0,Widowed,0,24946,Very Active,183
79,Female,121,61,113,0,0,Married,2,24952,Inactive,118
40,Male,204,67,102,1,0,Divorced,0,57275,Inactive,105
19,Male,184,75,105,1,0,Married,4,25106,Inactive,174
71,Male,163,72,94,1,0,Divorced,1,24903,Active,113
48,Male,189,74,98,3,0,Divorced,3,54779,Active,142
40,Male,161,68,98,0,0,Married,2,55540,Inactive,124
70,Female,126,64,97,1,0,Married,1,24886,Inactive,85
31,Female,133,67,96,1,0,Divorced,3,53375,Inactive,186
36,Female,114,65,89,1,0,Widowed,3,54455,Inactive,211
57,Female,154,66,107,0,0,Cohabiting,4,55771,Very Active,220
55,Male,186,71,108,2,0,Married,1,54253,Inactive,112
21,Female,112,66,93,1,23,Cohabiting,1,24746,Inactive,187
28,Female,140,70,99,2,24,Married,3,54119,Active,184
37,Male,155,72,92,1,33,Single,0,56764,Active,126
69,Female,94,67,96,1,0,Married,3,24963,Very Active,210
48,Female,97,66,99,0,0,Single,0,54555,Inactive,189
66,Female,144,66,97,1,0,Divorced,3,24802,Inactive,110
78,Female,135,68,101,0,0,Single,1,24921,Inactive,122
72,Female,137,66,89,0,0,Widowed,1,24960,Inactive,85
62,Male,161,68,104,1,33,Married,4,56966,Inactive,81
46,Female,136,71,116,0,0,Divorced,1,55574,Active,246
71,Female,135,67,99,0,0,Married,2,25088,Active,152
74,Male,132,68,104,1,0,Married,3,25196,Inactive,102
41,Male,173,73,106,1,0,Cohabiting,3,55446,Inactive,147
41,Female,129,65,95,0,0,Married,3,55769,Inactive,160
41,Male,173,70,88,2,0,Married,1,54443,Very Active,176
73,Female,104,63,102,3,0,Divorced,0,25283,Inactive,103
51,Female,140,68,105,0,0,Single,1,54029,Very Active,249
47,Female,130,64,93,1,23,Single,0,55945,Inactive,127
27,Male,161,71,88,0,0,Cohabiting,3,57943,Active,222
23,Female,125,63,95,0,0,Divorced,3,24825,Active,310
75,Female,140,65,110,2,0,Married,2,25021,Active,156
58,Female,120,63,90,1,0,Cohabiting,2,54307,Active,172
74,Female,112,66,92,0,6,Married,3,25021,Inactive,122
59,Male,183,73,100,0,0,Widowed,0,56185,Very Active,156
28,Female,111,64,100,2,16,Married,1,56505,Inactive,179
61,Female,125,70,99,2,0,Divorced,0,55300,Inactive,96
34,Female,139,71,101,3,0,Widowed,0,53270,Active,269
61,Female,136,73,101,1,0,Married,4,55389,Very Active,222
63,Female,128,65,105,3,0,Cohabiting,2,55073,Active,155
73,Male,142,72,101,0,35,Married,4,25120,Active,94
27,Male,167,73,103,3,0,Married,3,54399,Inactive,131
50,Male,160,75,97,1,0,Widowed,0,54783,Inactive,108
